batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
2,100,300,3.00,204800,46245,70.833465,29787,18.786541,11724,5430,6294,100,158555,46009,50692
2,100,300,3.00,204800,45758,71.228984,28113,17.676463,13142,5954,7188,100,159042,43453,45891
2,100,300,3.00,204800,63092,55.477461,23529,16.603861,16443,5773,10670,100,141708,43675,45968
2,100,303,3.03,206846,17152,90.958069,18428,9.714593,2427,912,1515,100,189694,21582,22761
2,100,300,3.00,204800,37564,77.538329,24098,14.409577,6167,2358,3809,100,167236,34208,32940
2,100,300,3.00,204800,52011,65.958937,28881,18.902539,9193,3241,5952,100,152789,47377,48893
2,100,300,3.00,204800,50046,67.660933,32187,20.798816,9631,3795,5836,100,154754,52219,52719
2,100,300,3.00,204800,55217,63.086046,31540,21.085284,9570,3984,5586,100,149583,55080,53978
2,100,300,3.00,204800,50558,67.221639,31918,20.693456,9875,4612,5263,100,154242,53324,52247
2,100,300,3.00,204800,53123,64.976232,31042,20.465858,11311,5040,6271,100,151677,52522,53086
2,100,300,3.00,204800,49896,67.789082,31098,20.075660,9508,4248,5260,100,154904,51822,51281
2,100,300,3.00,204800,49941,67.750664,30071,19.418310,9904,4621,5283,100,154859,49181,49462
2,100,300,3.00,204800,46356,70.742975,30218,19.071723,9547,4450,5097,100,158444,47608,48569
2,100,300,3.00,204800,43170,73.290849,31345,19.393058,10144,5242,4902,100,161630,47497,46430
2,100,300,3.00,204800,44917,71.906332,31639,19.788846,9745,4780,4965,100,159883,48575,47697
2,100,300,3.00,204800,47265,69.997143,32580,20.681118,9961,4784,5177,100,157535,50892,51134
2,100,300,3.00,204800,53940,64.244995,32350,21.443723,9227,4277,4950,100,150860,54528,54147
2,100,300,3.00,204800,51336,66.548506,33404,21.766668,11134,5539,5595,100,153464,55742,53745
2,100,300,3.00,204800,55079,63.212241,31495,21.035793,12021,5814,6207,100,149721,54707,51739
2,100,300,3.00,204800,51662,66.264415,31056,20.279748,10807,5325,5482,100,153138,52694,48957
2,100,300,3.00,204800,45404,71.514969,30462,19.110894,9120,4121,4999,100,159396,48434,44333
2,100,300,3.00,204800,64018,54.526857,26221,18.625250,9322,3940,5382,100,140782,51655,55478
2,100,303,3.03,206846,27533,84.645285,17424,9.717087,3459,1101,2358,100,179313,22736,22290
2,100,300,3.00,204800,27888,84.236230,24382,13.781993,4940,2153,2787,100,176912,31430,32772
2,100,300,3.00,204800,51737,66.198885,28727,18.768089,11798,4922,6876,100,153063,46405,46858
2,100,300,3.00,204800,51744,66.192766,31617,20.657145,13653,6354,7299,100,153056,51727,51866
2,100,300,3.00,204800,56068,62.302665,29983,20.159078,14970,7085,7885,100,148732,51793,52727
2,100,300,3.00,204800,47735,69.608124,31613,20.127336,13513,6731,6782,100,157065,49959,51841
2,100,300,3.00,204800,53733,64.431014,31087,20.578286,14994,7588,7406,100,151067,52741,51363
2,100,300,3.00,204800,49606,68.036135,30675,19.765584,14443,7453,6990,100,155194,49791,49929
2,100,300,3.00,204800,47545,69.765667,30585,19.449302,13311,6850,6461,100,157255,48797,47548
2,100,300,3.00,204800,46762,70.410914,30183,19.098571,13488,6728,6760,100,158038,47455,48264
2,100,300,3.00,204800,41397,74.665704,31347,19.183858,12859,6967,5892,100,163403,46413,45717
2,100,300,3.00,204800,46471,70.649091,31536,19.918019,14613,7923,6690,100,158329,49006,47580
2,100,300,3.00,204800,48698,68.803731,31825,20.387311,14141,7103,7038,100,156102,50965,51365
2,100,300,3.00,204800,56393,62.001119,31721,21.374329,15883,7414,8469,100,148407,55363,55213
2,100,300,3.00,204800,47725,69.616425,33720,21.467452,14182,7006,7176,100,157075,54560,53962
2,100,300,3.00,204800,49530,68.100728,32628,21.013718,14995,7179,7816,100,155270,53124,52733
2,100,300,3.00,204800,47259,70.002095,31605,20.061444,11891,5393,6498,100,157541,51127,51613
2,100,300,3.00,204800,46172,70.892907,29783,18.775374,12405,5775,6630,100,158628,47643,47497
2,100,300,3.00,204800,68535,49.704620,24589,18.044986,15094,6195,8899,100,136265,52155,55161
2,100,303,3.03,206846,21763,88.241492,17288,9.340674,2838,999,1839,100,185083,21060,21644
2,100,300,3.00,204800,32018,81.469135,23247,13.454527,5568,2210,3358,100,172782,31317,32486
2,100,300,3.00,204800,53998,64.192783,28183,18.688744,11393,4252,7141,100,150802,46647,47257
2,100,300,3.00,204800,50896,66.930034,31256,20.308764,13983,6601,7382,100,153904,50796,50252
2,100,300,3.00,204800,56721,61.695446,28878,19.501752,15229,7138,8091,100,148079,50318,50216
2,100,300,3.00,204800,50564,67.216473,30809,19.975233,14459,7475,6984,100,154236,50553,49438
2,100,300,3.00,204800,53327,64.794386,30343,20.031953,14510,6996,7514,100,151473,51227,50906
2,100,300,3.00,204800,47016,70.202302,30254,19.174314,12899,6493,6406,100,157784,47776,49751
2,100,300,3.00,204800,48644,68.849100,29034,18.592946,14292,6998,7294,100,156156,46058,47976
2,100,300,3.00,204800,52246,65.752455,29442,19.299396,15480,8029,7451,100,152554,48872,45904
2,100,300,3.00,204800,41598,74.511342,30957,18.968518,12657,6917,5740,100,163202,46651,44257
2,100,300,3.00,204800,39314,76.243308,31051,18.763521,11885,6373,5512,100,165486,45013,45903
2,100,300,3.00,204800,45405,71.514163,31319,19.648672,13776,7083,6693,100,159395,47893,48947
2,100,300,3.00,204800,53652,64.503665,31381,20.761770,15890,7699,8191,100,151148,51339,52746
2,100,300,3.00,204800,47495,69.807063,33405,21.235816,14398,7092,7306,100,157305,51855,53245
2,100,300,3.00,204800,49920,67.768595,31838,20.556560,15650,7677,7973,100,154880,50958,51581
2,100,300,3.00,204800,49032,68.522418,30049,19.290868,16366,8033,8333,100,155768,47439,47756
2,100,300,3.00,204800,45290,71.606796,29093,18.238982,13920,6814,7106,100,159510,45983,43637
2,100,300,3.00,204800,65257,53.235203,22582,16.182825,18183,6003,12180,100,139543,43964,42147
2,100,303,3.03,206846,20654,88.907150,16239,8.721642,2562,916,1646,100,186192,19841,19561
2,100,300,3.00,204800,33191,80.658940,22998,13.401395,6063,2437,3626,100,171609,31676,30666
2,100,300,3.00,204800,52901,65.173569,27420,18.051468,11874,4776,7098,100,151899,44922,45065
2,100,300,3.00,204800,50684,67.113084,30326,19.677386,13539,6302,7237,100,154116,49336,49378
2,100,300,3.00,204800,58565,59.951448,28577,19.541833,16389,7805,8584,100,146235,50059,49091
2,100,300,3.00,204800,51744,66.192766,29717,19.415769,15263,7462,7801,100,153056,48771,48536
2,100,300,3.00,204800,50173,67.552239,29351,18.981808,14460,7062,7398,100,154627,47465,50395
2,100,300,3.00,204800,49410,68.202587,29364,18.896969,14624,7378,7246,100,155390,47130,47611
2,100,300,3.00,204800,52389,65.626497,27990,18.364816,15294,7490,7804,100,152411,46662,46727
2,100,300,3.00,204800,47489,69.812028,27980,17.786423,13885,6752,7133,100,157311,44016,46749
2,100,300,3.00,204800,41001,74.968712,29436,17.970806,13353,7020,6333,100,163799,42584,44289
2,100,300,3.00,204800,40545,75.315820,29644,18.047548,13319,6848,6471,100,164255,42608,44679
2,100,300,3.00,204800,46806,70.374824,30389,19.234275,15457,7774,7683,100,157994,46329,47275
2,100,300,3.00,204800,56350,62.041091,30866,20.792186,16680,7597,9083,100,148450,52498,50816
2,100,300,3.00,204800,50724,67.078585,32184,20.888393,16264,7835,8429,100,154076,51800,51626
2,100,300,3.00,204800,49835,67.841125,30884,19.929662,15395,7258,8137,100,154965,49342,51553
2,100,300,3.00,204800,49931,67.759203,29454,19.018654,16002,7432,8570,100,154869,47218,48316
2,100,300,3.00,204800,45745,71.239508,26747,16.816196,14243,6557,7686,100,159055,42145,44605
2,100,300,3.00,204800,73287,44.273950,20031,15.231194,21167,7460,13707,100,131513,41843,40504
