batch,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
4,3703,10507,2.84,118496,983,99.163497,18645,15.866330,482,439,43,3703,117513,18989,19885
4,3702,10548,2.85,118464,981,99.164986,18858,16.051684,506,471,35,3702,117483,19224,20118
4,3684,10502,2.85,117882,800,99.316718,18625,15.907654,440,426,14,3684,117082,18921,19376
4,1,4,4.00,60,0,100.000000,2,3.333333,0,0,0,1,60,2,1
4,3376,9558,2.83,108032,5419,94.718993,16847,16.417998,2563,2195,368,3376,102613,19401,18076
4,3695,10508,2.84,118240,5440,95.177305,18213,16.146277,2464,2134,330,3695,112800,20285,19353
4,3699,10480,2.83,118368,5328,95.286624,17831,15.774062,2350,2086,264,3699,113040,19943,18924
4,3700,10476,2.83,118400,5567,95.066160,17751,15.732100,2404,2110,294,3700,112833,20097,18937
4,3690,10496,2.84,118080,5639,94.984925,17748,15.784278,2519,2188,331,3690,112441,20222,18697
4,3697,10483,2.84,118304,5704,94.934281,17649,15.674067,2453,2142,311,3697,112600,19827,18826
4,3684,10509,2.85,117888,5140,95.441161,17859,15.839749,2360,2109,251,3684,112748,19735,18794
4,3703,10507,2.84,118496,6310,94.375412,17615,15.701603,2767,2462,305,3703,112186,19963,18764
4,3702,10548,2.85,118464,6197,94.480123,17752,15.812305,2676,2338,338,3702,112267,20156,19183
4,3684,10502,2.85,117854,4678,95.866615,17741,15.675585,2116,1917,199,3684,113176,19405,18753
4,1,4,4.00,60,0,100.000000,0,0.000000,0,0,0,1,60,0,2
4,3376,9558,2.83,108032,757,99.294337,18240,17.003030,406,360,46,3376,107275,18534,19352
4,3695,10508,2.84,118240,1150,99.017850,19628,16.763174,601,549,52,3695,117090,20068,20499
4,3699,10480,2.83,118368,906,99.228687,19000,16.175444,477,448,29,3699,117462,19428,19849
4,3700,10476,2.83,118400,1137,99.030385,19164,16.342751,554,502,52,3700,117263,19652,20030
4,3690,10496,2.84,118080,806,99.312721,19020,16.218429,422,392,30,3690,117274,19294,19948
4,3697,10483,2.84,118304,592,99.497078,19143,16.262573,321,296,25,3697,117712,19387,20206
