gvt,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
4,1855,5347,2.88,118720,1135,99.034741,18727,15.926351,581,530,51,1855,117585,19123,20009
4,1851,5353,2.89,118464,1184,98.990450,18821,16.047920,561,504,57,1851,117280,19239,20058
4,1850,5318,2.87,118338,1341,98.853817,18605,15.902117,660,596,64,1850,116997,19139,19537
4,1,4,4.00,112,0,100.000000,3,2.678571,0,0,0,1,112,3,1
4,1703,4864,2.86,108992,6335,93.828964,16870,16.433365,2742,2237,505,1703,102657,19622,18472
4,1852,5286,2.85,118528,5630,95.013198,18225,16.142890,2559,2181,378,1852,112898,20539,19528
4,1859,5345,2.88,118976,5932,94.752486,17810,15.754927,2493,2137,356,1859,113044,20166,19151
4,1857,5336,2.87,118848,6030,94.655108,17763,15.744828,2588,2264,324,1857,112818,20445,19111
4,1845,5279,2.86,118080,5435,95.175108,17743,15.751254,2326,1973,353,1845,112645,19881,18818
4,1854,5339,2.88,118656,6031,94.645061,17674,15.692786,2499,2114,385,1854,112625,19942,19102
4,1853,5321,2.87,118592,5914,94.751416,17811,15.806990,2445,2105,340,1853,112678,19989,19017
4,1855,5347,2.88,118720,6499,94.208749,17663,15.739478,2709,2358,351,1855,112221,20113,18901
4,1851,5353,2.89,118464,5989,94.675261,17747,15.778617,2460,2134,326,1851,112475,20035,19100
4,1850,5318,2.87,118292,5047,95.543291,17718,15.645724,2258,1987,271,1850,113245,19600,18861
4,1,4,4.00,112,0,100.000000,0,0.000000,0,0,0,1,112,0,3
4,1703,4864,2.86,108992,1564,98.544141,18283,17.018841,721,605,116,1703,107428,18881,19874
4,1852,5286,2.85,118528,1443,98.767562,19629,16.764744,693,609,84,1852,117085,20207,20593
4,1859,5345,2.88,118976,1449,98.767092,19046,16.205638,722,638,84,1859,117527,19714,20174
4,1857,5336,2.87,118848,1686,98.560967,19166,16.358546,817,728,89,1857,117162,19952,20335
4,1845,5279,2.86,118080,765,99.347909,19043,16.232366,412,368,44,1845,117315,19311,19943
4,1854,5339,2.88,118656,1019,99.133776,19097,16.233838,507,451,56,1854,117637,19465,20317
4,1853,5321,2.87,118592,1688,98.556080,19113,16.349312,806,739,67,1853,116904,19755,19983
4,1855,5347,2.88,118720,1083,99.079371,19170,16.295893,585,535,50,1855,117637,19568,20236
4,1851,5353,2.89,118464,908,99.227602,19025,16.183776,450,407,43,1851,117556,19417,20122
4,1850,5318,2.87,118289,592,99.497014,18987,16.132102,314,280,34,1850,117697,19195,20085
